case_id,shape,spacing
BraTS-GLI-02343-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02347-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02348-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02352-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02355-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02358-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02358-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02360-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02361-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02368-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02372-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02375-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02375-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02377-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02378-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02378-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02378-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02380-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02384-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02385-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02388-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02388-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02390-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02390-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02390-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02393-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02394-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02403-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02407-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02412-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02414-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02416-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02419-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02421-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02423-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02424-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02425-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02427-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02427-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02432-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02480-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02480-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02482-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02485-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02485-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02485-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02486-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02486-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02489-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02492-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02492-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02492-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02492-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02492-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02493-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02493-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02494-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02494-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02494-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02494-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02494-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02501-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02501-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02502-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02504-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02504-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02504-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02504-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02504-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02504-105,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02507-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02507-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02511-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02512-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02512-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02512-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02513-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02513-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02520-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02520-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02520-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02520-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02520-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02531-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02536-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02536-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02536-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02539-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02539-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02539-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02541-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02542-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02542-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02543-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02549-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02549-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02549-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02553-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02553-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02563-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02564-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02564-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02564-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02565-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02565-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02565-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02565-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02565-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02565-105,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02566-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02569-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02570-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02570-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02570-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02570-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02570-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02570-105,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02574-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02574-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02574-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02574-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02576-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02576-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02576-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02578-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02580-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02581-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02584-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02584-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02584-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02591-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02591-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02591-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02596-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02596-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02596-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02599-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02602-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02615-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02618-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02618-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02618-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02621-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02621-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02621-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02624-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02631-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02631-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02632-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02632-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02632-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02632-103,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02632-104,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02633-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02635-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02635-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02637-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02637-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02639-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02639-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02641-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02641-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02641-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02642-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02642-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02642-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02646-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02646-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02646-102,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02647-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02648-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02650-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02653-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02656-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02657-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02658-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02659-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02660-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02662-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02663-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02664-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02675-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02685-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02693-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02694-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02699-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02708-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02709-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02717-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02718-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02724-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02725-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02726-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02736-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02736-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02739-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02739-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02740-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02740-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02742-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02742-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02743-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02743-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02744-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02744-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02745-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02745-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02747-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02747-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02748-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02748-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02750-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02750-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02751-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02751-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02755-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02755-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02757-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02757-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02758-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02758-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02759-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02759-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02765-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02765-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02766-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02766-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02768-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02768-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02773-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02773-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02774-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02774-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02775-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02775-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02777-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02777-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02781-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02781-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02788-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02788-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02792-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02792-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02797-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02797-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02798-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02798-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02800-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02800-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02802-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02802-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02803-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02803-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02813-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02813-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02818-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02818-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02819-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02819-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02820-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02820-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02824-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02824-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02826-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02826-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02828-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02828-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02830-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02830-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02831-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02831-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02833-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02833-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02834-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02834-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02835-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02835-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02839-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02839-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02842-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02842-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02844-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02844-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02846-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02846-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02847-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02847-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02848-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02848-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02852-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02852-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02854-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02854-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02858-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02858-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02859-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02859-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02860-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02860-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02861-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02861-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02862-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02862-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02863-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02863-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02864-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02864-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02865-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02865-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02867-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02867-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02868-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02868-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02870-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02870-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02871-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02871-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02873-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02873-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02874-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02874-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02876-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02876-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02879-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02879-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02883-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02883-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02884-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02884-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02885-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02885-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02887-100,"(182, 218, 182)","(1.0, 1.0, 1.0)"
BraTS-GLI-02887-101,"(182, 218, 182)","(1.0, 1.0, 1.0)"
